Id|Precinct|For|Against|Totals|TabName
1|WestBlue/Highland|209|158|367|Adams
2|Verona|74|79|153|Adams
3|Kenesaw|314|297|611|Adams
4|Juniata|299|212|511|Adams
5|Denver|326|294|620|Adams
6|Blaine|44|59|103|Adams
7|Pauline|112|74|186|Adams
8|Ayr|213|184|397|Adams
9|Roseland|154|107|261|Adams
10|Holstein|104|68|172|Adams
11|1-A|485|299|784|Adams
12|1-B|343|213|556|Adams
13|1-C|299|213|512|Adams
14|2-A|213|121|334|Adams
15|2-B|357|258|615|Adams
16|2-C|324|212|536|Adams
17|2-D|518|426|944|Adams
18|2-E|397|235|632|Adams
19|3-A|383|234|617|Adams
20|3-B|299|238|537|Adams
21|3-C|432|249|681|Adams
22|3-D|79|53|132|Adams
23|3-E|673|501|1174|Adams
24|4-A|257|197|454|Adams
25|4-B|326|221|547|Adams
26|4-C|178|128|306|Adams
27|4-D|535|345|880|Adams
28|4-E|131|90|221|Adams
29|Tilden Precinct|81|68|149|Antelope
30|Tilden 1st Ward|94|43|137|Antelope
31|Oakdale Precinct|144|105|249|Antelope
32|Neligh Precinct|166|96|262|Antelope
33|Neligh 1st Ward|220|169|389|Antelope
34|Neligh 2nd Ward|185|137|322|Antelope
35|Brunswick Precinct|165|167|332|Antelope
36|Elgin 1st Ward|93|78|171|Antelope
37|Elgin 2nd Ward|108|91|199|Antelope
38|Elgin Precinct|110|106|216|Antelope
39|Royal Precinct|65|61|126|Antelope
40|Clearwater Precinct|227|184|411|Antelope
41|Orchard Precinct|159|123|282|Antelope
42|Arthur|0|0|0|Arthur
43|Long Springs|193|185|378|Banner
44|Blaine|172|127|299|Blaine
45|Boone|73|62|135|Boone
46|Beaver|250|137|387|Boone
47|Cedar|215|123|338|Boone
48|Dublin-Bonanza|88|57|145|Boone
49|North Branch-Shell Creek|38|46|84|Boone
50|North Manchester|241|212|453|Boone
51|Oakland|236|185|421|Boone
52|Southeast Manchester|328|224|552|Boone
53|Southwest Manchester|307|228|535|Boone
54|New/Former Resident|0|0|0|Boone
55|Precinct 1|323|189|512|Box Butte
56|Precinct 2|332|212|544|Box Butte
57|Precinct 3|282|175|457|Box Butte
58|Precinct 4|348|217|565|Box Butte
59|Precinct 5|487|257|744|Box Butte
60|Precinct 6|408|230|638|Box Butte
61|Precinct 11|212|129|341|Box Butte
62|Precinct 12|186|153|339|Box Butte
63|Precinct 15|443|271|714|Box Butte
64|Butte Basin McCulley|174|204|378|Boyd
65|Lynch Bristow Mullen Bush|108|121|229|Boyd
66|Spencer Morton|163|238|401|Boyd
67|Ainsworth Precinct|203|263|466|Brown
68|City of Ainsworth|381|395|776|Brown
69|The Pines|166|185|351|Brown
70|Precinct 1|458|480|938|Buffalo
71|Precinct 2|429|345|774|Buffalo
72|Precinct 3|530|553|1083|Buffalo
73|Precinct 4|776|747|1523|Buffalo
74|Precinct 5|398|326|724|Buffalo
75|Precinct 6|616|666|1282|Buffalo
76|Precinct 7|526|423|949|Buffalo
77|Precinct 8|289|232|521|Buffalo
78|Precinct 9|438|359|797|Buffalo
