Id|Precinct|For|Against|Totals|TabName
1|WestBlue/Highland|162|144|306|Adams
2|Verona|89|50|139|Adams
3|Kenesaw|314|237|551|Adams
4|Juniata|260|207|467|Adams
5|Denver|299|278|577|Adams
6|Blaine|42|50|92|Adams
7|Pauline|81|78|159|Adams
8|Ayr|191|162|353|Adams
9|Roseland|123|111|234|Adams
10|Holstein|99|59|158|Adams
11|1-A|415|307|722|Adams
12|1-B|317|196|513|Adams
13|1-C|286|165|451|Adams
14|2-A|164|136|300|Adams
15|2-B|308|238|546|Adams
16|2-C|294|202|496|Adams
17|2-D|485|378|863|Adams
18|2-E|367|223|590|Adams
19|3-A|356|218|574|Adams
20|3-B|296|202|498|Adams
21|3-C|392|232|624|Adams
22|3-D|72|46|118|Adams
23|3-E|621|444|1065|Adams
24|4-A|254|173|427|Adams
25|4-B|295|205|500|Adams
26|4-C|166|122|288|Adams
27|4-D|479|336|815|Adams
28|4-E|111|92|203|Adams
29|Tilden Precinct|71|71|142|Antelope
30|Tilden 1st Ward|75|55|130|Antelope
31|Oakdale Precinct|96|125|221|Antelope
32|Neligh Precinct|104|124|228|Antelope
33|Neligh 1st Ward|164|187|351|Antelope
34|Neligh 2nd Ward|167|128|295|Antelope
35|Brunswick Precinct|135|186|321|Antelope
36|Elgin 1st Ward|83|72|155|Antelope
37|Elgin 2nd Ward|104|76|180|Antelope
38|Elgin Precinct|84|100|184|Antelope
39|Royal Precinct|62|46|108|Antelope
40|Clearwater Precinct|199|159|358|Antelope
41|Orchard Precinct|136|123|259|Antelope
42|Arthur|0|0|0|Arthur
43|Long Springs|172|191|363|Banner
44|Blaine|137|130|267|Blaine
45|Boone|71|55|126|Boone
46|Beaver|212|146|358|Boone
47|Cedar|167|137|304|Boone
48|Dublin-Bonanza|65|60|125|Boone
49|North Branch-Shell Creek|35|40|75|Boone
50|North Manchester|230|161|391|Boone
51|Oakland|180|189|369|Boone
52|Southeast Manchester|273|236|509|Boone
53|Southwest Manchester|268|197|465|Boone
54|New/Former Resident|0|0|0|Boone
55|Precinct 1|275|220|495|Box Butte
56|Precinct 2|288|252|540|Box Butte
57|Precinct 3|264|194|458|Box Butte
58|Precinct 4|309|238|547|Box Butte
59|Precinct 5|391|334|725|Box Butte
60|Precinct 6|326|303|629|Box Butte
61|Precinct 11|150|181|331|Box Butte
62|Precinct 12|147|174|321|Box Butte
63|Precinct 15|379|311|690|Box Butte
64|Butte Basin McCulley|161|162|323|Boyd
65|Lynch Bristow Mullen Bush|107|96|203|Boyd
66|Spencer Morton|170|172|342|Boyd
67|Ainsworth Precinct|211|218|429|Brown
68|City of Ainsworth|432|295|727|Brown
69|The Pines|191|136|327|Brown
70|Precinct 1|530|343|873|Buffalo
71|Precinct 2|424|305|729|Buffalo
72|Precinct 3|582|406|988|Buffalo
73|Precinct 4|796|634|1430|Buffalo
74|Precinct 5|406|272|678|Buffalo
75|Precinct 6|693|508|1201|Buffalo
76|Precinct 7|565|328|893|Buffalo
77|Precinct 8|307|183|490|Buffalo
78|Precinct 9|453|295|748|Buffalo
79|Precinct 10|745|475|1220|Buffalo
80|Precinct 11|391|192|583|Buffalo
81|Precinct 12|463|228|691|Buffalo
82|Precinct 13|870|551|1421|Buffalo
83|Precinct 14|660|454|1114|Buffalo
84|Precinct 15|135|131|266|Buffalo
85|Precinct 16|281|247|528|Buffalo
86|Precinct 17|132|117|249|Buffalo
87|Precinct 18|356|263|619|Buffalo
88|Precinct 19|268|264|532|Buffalo
89|Precinct 20|540|485|1025|Buffalo
90|Precinct 21|258|203|461|Buffalo
91|Precinct 22|176|114|290|Buffalo
92|Precinct 23|200|139|339|Buffalo
93|Precinct 24|367|308|675|Buffalo
94|Precinct 25|336|276|612|Buffalo
95|Precinct 26|387|313|700|Buffalo
96|Precinct 27|173|128|301|Buffalo
97|Precinct 28|304|311|615|Buffalo
98|Precinct 29|309|275|584|Buffalo
99|ARIZONA-RIVERSIDE|105|89|194|Burt
100|BELL-OAK-PERSH|141|109|250|Burt
101|CRAIG|137|82|219|Burt
102|DECATUR-QUINN|186|111|297|Burt
103|EVERETT-LOGAN|96|88|184|Burt
104|LYONS CITY|216|151|367|Burt
105|OAKLAND I|187|95|282|Burt
106|OAKLAND II|147|117|264|Burt
107|SILVERCREEK-SUMMIT|176|112|288|Burt
108|TEKAMAH I|293|135|428|Burt
109|TEKAMAH II|254|143|397|Burt
110|Linwood-Skull Creek-Platte|164|137|301|Butler
