Id|Precinct|For|Against|Totals|TabName
1|WestBlue/Highland|255|77|332|Adams
2|Verona|121|22|143|Adams
3|Kenesaw|459|108|567|Adams
4|Juniata|392|88|480|Adams
5|Denver|475|119|594|Adams
6|Blaine|62|29|91|Adams
7|Pauline|127|42|169|Adams
8|Ayr|301|65|366|Adams
9|Roseland|186|54|240|Adams
10|Holstein|133|29|162|Adams
11|1-A|581|174|755|Adams
12|1-B|427|104|531|Adams
13|1-C|355|128|483|Adams
14|2-A|264|51|315|Adams
15|2-B|472|115|587|Adams
16|2-C|416|97|513|Adams
17|2-D|729|171|900|Adams
18|2-E|505|113|618|Adams
19|3-A|471|120|591|Adams
20|3-B|433|87|520|Adams
21|3-C|542|128|670|Adams
22|3-D|104|21|125|Adams
23|3-E|902|187|1089|Adams
24|4-A|365|76|441|Adams
25|4-B|435|85|520|Adams
26|4-C|259|39|298|Adams
27|4-D|679|165|844|Adams
28|4-E|177|41|218|Adams
29|Tilden Precinct|102|38|140|Antelope
30|Tilden 1st Ward|97|29|126|Antelope
31|Oakdale Precinct|174|58|232|Antelope
32|Neligh Precinct|178|59|237|Antelope
33|Neligh 1st Ward|269|92|361|Antelope
34|Neligh 2nd Ward|239|63|302|Antelope
35|Brunswick Precinct|234|85|319|Antelope
36|Elgin 1st Ward|116|49|165|Antelope
37|Elgin 2nd Ward|126|52|178|Antelope
38|Elgin Precinct|137|55|192|Antelope
39|Royal Precinct|79|33|112|Antelope
40|Clearwater Precinct|274|91|365|Antelope
41|Orchard Precinct|196|74|270|Antelope
42|Arthur|0|0|0|Arthur
43|Long Springs|247|122|369|Banner
44|Blaine|215|68|283|Blaine
45|Boone|111|18|129|Boone
46|Beaver|311|62|373|Boone
47|Cedar|265|57|322|Boone
48|Dublin-Bonanza|104|32|136|Boone
49|North Branch-Shell Creek|59|16|75|Boone
50|North Manchester|329|94|423|Boone
51|Oakland|307|87|394|Boone
52|Southeast Manchester|438|104|542|Boone
53|Southwest Manchester|400|96|496|Boone
54|New/Former Resident|0|0|0|Boone
55|Precinct 1|384|113|497|Box Butte
56|Precinct 2|377|164|541|Box Butte
57|Precinct 3|328|123|451|Box Butte
58|Precinct 4|417|131|548|Box Butte
59|Precinct 5|545|184|729|Box Butte
60|Precinct 6|474|164|638|Box Butte
61|Precinct 11|240|84|324|Box Butte
62|Precinct 12|244|85|329|Box Butte
63|Precinct 15|514|177|691|Box Butte
64|Butte Basin McCulley|250|92|342|Boyd
65|Lynch Bristow Mullen Bush|165|47|212|Boyd
66|Spencer Morton|263|110|373|Boyd
67|Ainsworth Precinct|330|120|450|Brown
68|City of Ainsworth|573|168|741|Brown
69|The Pines|253|86|339|Brown
70|Precinct 1|714|172|886|Buffalo
71|Precinct 2|646|112|758|Buffalo
72|Precinct 3|829|199|1028|Buffalo
73|Precinct 4|1183|280|1463|Buffalo
74|Precinct 5|572|124|696|Buffalo
75|Precinct 6|1018|225|1243|Buffalo
76|Precinct 7|785|135|920|Buffalo
77|Precinct 8|407|102|509|Buffalo
78|Precinct 9|641|133|774|Buffalo
79|Precinct 10|1038|217|1255|Buffalo
80|Precinct 11|480|131|611|Buffalo
81|Precinct 12|570|131|701|Buffalo
82|Precinct 13|1195|262|1457|Buffalo
83|Precinct 14|918|231|1149|Buffalo
84|Precinct 15|211|66|277|Buffalo
85|Precinct 16|446|101|547|Buffalo
86|Precinct 17|199|55|254|Buffalo
87|Precinct 18|493|144|637|Buffalo
88|Precinct 19|424|123|547|Buffalo
89|Precinct 20|856|195|1051|Buffalo
90|Precinct 21|380|102|482|Buffalo
91|Precinct 22|222|72|294|Buffalo
92|Precinct 23|263|100|363|Buffalo
93|Precinct 24|550|145|695|Buffalo
94|Precinct 25|492|136|628|Buffalo
95|Precinct 26|582|130|712|Buffalo
96|Precinct 27|267|50|317|Buffalo
97|Precinct 28|511|119|630|Buffalo
98|Precinct 29|462|135|597|Buffalo
99|ARIZONA-RIVERSIDE|160|45|205|Burt
100|BELL-OAK-PERSH|209|53|262|Burt
101|CRAIG|178|40|218|Burt
102|DECATUR-QUINN|252|50|302|Burt
103|EVERETT-LOGAN|145|38|183|Burt
104|LYONS CITY|304|73|377|Burt
105|OAKLAND I|260|41|301|Burt
106|OAKLAND II|227|55|282|Burt
107|SILVERCREEK-SUMMIT|224|52|276|Burt
108|TEKAMAH I|324|95|419|Burt
109|TEKAMAH II|325|85|410|Burt
110|Linwood-Skull Creek-Platte|228|84|312|Butler
111|Savannah-Alexis|497|120|617|Butler
112|Summit-Reading|286|64|350|Butler
113|Franklin-Bone Creek|219|50|269|Butler
114|Oak Creek-Center|296|57|353|Butler
115|Union-Olive|182|65|247|Butler
116|Read-Ulysses|197|59|256|Butler
117|Plum Creek-Richardson|244|70|314|Butler
118|First Ward|268|82|350|Butler
119|Second Ward|311|78|389|Butler
120|Third Ward|376|78|454|Butler
121|Tipton|960|197|1157|Cass
122|McKelverly|193|58|251|Cass
123|Salt Creek|390|86|476|Cass
124|Stove Creek|428|117|545|Cass
125|Murdock|303|64|367|Cass
126|South Bend|495|82|577|Cass
127|Buccaneer Bay|716|152|868|Cass
128|Center|244|67|311|Cass
129|East Louisville|406|76|482|Cass
130|West Louisville|472|114|586|Cass
131|Avoca|200|60|260|Cass
132|Mount Pleasant|108|22|130|Cass
133|Eight Mile Grove|556|97|653|Cass
134|Nehawka|143|38|181|Cass
135|Liberty|292|54|346|Cass
136|North Rock Bluff|514|101|615|Cass
137|South Rock Bluff|889|162|1051|Cass
138|West Rock Bluff|284|56|340|Cass
139|North Plattsmouth|456|79|535|Cass
140|South Plattsmouth|656|119|775|Cass
141|Weeping Water 1st Ward|237|44|281|Cass
142|Weeping Water 2nd Ward|257|39|296|Cass
143|1st Ward - 1st Precinct|302|54|356|Cass
144|1st Ward - 2nd Precinct|257|67|324|Cass
145|2nd Ward - 1st Precinct|299|68|367|Cass
146|2nd Ward - 2nd Precinct|280|62|342|Cass
147|3rd Ward - 1st Precinct|292|69|361|Cass
148|3rd Ward - 2nd Precinct|269|54|323|Cass
149|4th Ward - 1st Precinct|214|36|250|Cass
150|4th Ward - 2nd Precinct|280|76|356|Cass
151|Precinct 1 (1)|147|36|183|Cedar
152|Precinct 2 (2-3)|298|80|378|Cedar
153|Precicnt 3 (4)|138|40|178|Cedar
154|Precicnt 4 (5-6-7)|317|71|388|Cedar
155|Precinct 5 (13-14)|118|31|149|Cedar
156|Precinct 6 (8-9)|774|263|1037|Cedar
157|Precicnt 7 (9A)|69|26|95|Cedar
158|Precinct 8 (10-11-12)|196|44|240|Cedar
159|Precinct 9 (15-16)|315|104|419|Cedar
160|Precicnt 10 (17-18)|94|40|134|Cedar
161|Precinct 11 (19)|392|111|503|Cedar
162|Precinct 12 (20)|85|30|115|Cedar
163|Precicnt 13 (21)|452|142|594|Cedar
164|Champion/Lamar|188|78|266|Chase
165|Imperial East|212|87|299|Chase
166|Imperial West|403|136|539|Chase
167|Imperial Rural|233|80|313|Chase
168|Wauneta|236|106|342|Chase
169|Barley|19|14|33|Cherry
170|Cleveland|53|14|67|Cherry
171|Cody|130|46|176|Cherry
172|Crookston|80|37|117|Cherry
173|Gillaspie|10|7|17|Cherry
174|Goose Creek|42|34|76|Cherry
175|Kennedy|17|7|24|Cherry
176|Kilgore|48|18|66|Cherry
177|King|12|7|19|Cherry
178|Lackey|38|15|53|Cherry
179|Loup|89|38|127|Cherry
180|Merriman|101|26|127|Cherry
181|Mother Lake|27|7|34|Cherry
182|Nenzel|22|7|29|Cherry
183|Russell|17|5|22|Cherry
184|Valentine East|434|155|589|Cherry
185|Valentine North|545|151|696|Cherry
186|Valentine South|322|88|410|Cherry
187|Wells|56|15|71|Cherry
188|Wood Lake|61|24|85|Cherry
189|Sidney 1|379|111|490|Cheyenne
190|Sidney 2|479|169|648|Cheyenne
191|Sidney 3|390|126|516|Cheyenne
192|Sidney 4|383|133|516|Cheyenne
193|Sidney 5|675|230|905|Cheyenne
194|Gurley|173|95|268|Cheyenne
195|Lodgepole|243|119|362|Cheyenne
196|Potter|193|104|297|Cheyenne
197|Union Valley|183|76|259|Cheyenne
198|Harvard Cons.|383|83|466|Clay
199|Inland Leicester|188|34|222|Clay
200|Sutton 1st|320|80|400|Clay
201|Sutton 2nd|301|80|381|Clay
202|Sutton Twps|206|54|260|Clay
203|Glenvil|167|41|208|Clay
204|Spring Ranch FF 2nd|158|38|196|Clay
205|Fairfield 1st|166|27|193|Clay
206|Edgar Cons.|288|66|354|Clay
207|Clay Center City|334|64|398|Clay
208|LLLM Cons.|183|56|239|Clay
209|Schuyler 1|425|134|559|Colfax
210|Schuyler 2|613|207|820|Colfax
211|Schuyler 3|523|177|700|Colfax
212|Clarkson 4|577|151|728|Colfax
213|Howells 5|359|97|456|Colfax
433|Nickerson/Maple Townships|408|99|507|Dodge
434|City of Hooper|346|78|424|Dodge
435|Hooper/Logan Townships|317|99|416|Dodge
436|Elkhorn Township|159|30|189|Dodge
437|Union/Cott/Ridg/PV Townships|434|127|561|Dodge
438|(Countywide) Burt County PPD|0|0|0|Dodge
439|(Countywide) Cuming PPD|0|0|0|Dodge
